39087	내가 톰행크스를 좋아하긴 했나보다... 초기 영화 빼고는 다 봤네.	2,13,15,16,29,39
30893	정말 상상을 초월하는 무개념 진상들 상대하다 우울증, 공항장애 걸리는 공무원 많아요 ㅠ 생각보다 스트레스 심한 직업군이라는 생각입니다.	0,5,7,10,19,22,29,35,36,38
45278	새로운 세상과 조우한 자의 어린아이 같은 반응, 어쩌면 회복된 것은 눈이 아닌 순수함일지도 모르겠습니다. 그걸 가능케 한 사랑에 경의를 표합니다.	1,2,7
16398	미역은 원생생물계 산호초는 동물ㅇㅇ 아 미역이 바다의 새ㄱㅇㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	9,15,20,23,26,28,29
13653	네 맞습니다 플스는 역시 30프레임이 어울리죠 ㅎ	1,2,8,9,11,13,15,16,28,29,32,40,42
13748	어릴 때 했던 건데 아직도 볼 때마다 뒤통수 얼얼함 ㅋㅋㅋㅋ	2,15,23,24,25,28,33
23965	물갈이약 구매했어요...미미네에서 수조2개랑 여러가지 용품사면서 3~4번 주문했었는데 그 동안 만족했었는데... 약간 불량들이 있네요... 1) 함께 구매한 스포이드에 구멍이 있네요... 2) 부화통에 같이오는 흡착고무가 불량이라 안붙어요... 3) 예전에 구매한 온도계의 온도가 안맞아요...	0,10,33
45552	십일조는 겨우60인데? 나머지 다 어디감? 혹시 엄마아빠 그랜져따로타고, 외식자주하는거아님? 이런저런건 다빼고 십일조얘기만하는건 그냥 머리나쁜거ㅜ	0,3,9,10,12,20,22,23
30219	90년 줘야 하는거 아닌가?  쓰레기같은 것들.	0,3,6,21,22,23,31,34
24079	아주 부착성도 좋고 효과 100점 입니다	1,2,8,11,13,15,39,42,43
12181	스토리 담당만 붙여줬으면 갓작품 됬을텐데.....	0,10
21848	솔직히 말씀드릴게요. 맛없습니다. 장어라서 단백질원이 필요해서 오징어,연어,고등어,쇠고기 이것저것 먹느라 이번엔 장어를 선택해 봤는데 맛이 없어요. 장어상태가 좋은지 어떤지는 모르겠습니다. 다만 개별포장이 아니라서 하나씩 먹기도 어렵고 소스가 너무 맛이 없습니다. 마트에서 파는 장어초밥에 소스가 맛있다고 느껴질 정도. 운동때문에 단백질원이 필요한 분들은 뭐 이용하실 수도 있다고 생각하는데 맛있는 요리가 필요하신 분께는 비추입니다.	0,6,10,22
14290	야 자국민 다 뒈져도 상관없다는거냐?	0,6,22,23,31
24755	진작살껄그랬어요~안사고 그냥 넘길려고했는데 아기가 눕기싫어하고 바운서도 이제 싫어해서 어쩔수없이 늦게라도 샀어요 앉아있는모습이 참깜찍해요~비싸지만 카트랑 풀셋으로 구입하길 잘했네요ㅋㅋ 범*랑 젤리*이랑 토트..며칠동안 고민했는데 아주 만족해요^6^	2,8,13,14,28,29,42,43
35013	_ 원래 트위터는 배우는 재미가 쏠쏠함ㅋㅋ 일단 님 존재감은 확실히 심어주셨음ㅋㅋㅋ 일루와요. 완전 반가움ㅋㅋㅋㅋ	1,8,15,28
15361	자사주 매입 효과 최고봉은 자사주 소각이다.	0,9,15,16,19,22,23,24,29,33,41
48038	3분이나참다니   대단한대요	2,7,15,39
36311	누렁이ㅋㅋ 아무튼 똘추님은 재미 있으신 분 같다는^^   ㅠ..ㅠ111	2,28
30239	민주당소속 대통령도 모욕하는 느그지지자와  이낙연의원에게  악성댓글다는 dear moon부터 출당시키자	0,3,6,9,11,12,17,20,21,22,23,31
7195	맹세하고 내가 찍은거. 캐나다 살고있는데 집에서 걸어서 5분거리에 볼수있는 풍경임	2,8,9,11,13,15
3579	댓글들만봐도 종북 좌 빨 영화인줄 알겠다믿고 거른다	0,3,6,9,10,12,20,21,22,23,26,31,33,37
36147	사랑의 주님, 근신하라 깨어라. 너희 대적 마귀가 우는 사자같이 두루 다니며 삼킬 자를 찾고 있다는 말씀을 상기하면서 깨어 있는 믿음의 사람 되게 하옵소서!112	7,8,16,24,43
34095	둘이모여야..이와오이..!!!!ㅠㅠㅠㅠㅋㅋㅋ1	2,15,24,28,33,34,39
10441	특수.... 다른 나라도 대통령이 특수한 케이스인지? 저금리라 여기저기 다 올랐는데...ㅎㅎ언론과 일베가 난리치면 그런갑다 하는 사람 여기 또 있네요	0,6,9,10,20,22,23,33
16307	= 438덬 480덬 ???큰시장서 성공했다고 원래있던 계약을 일방적으로 파기하거나 변경할순없잖아 글고 일본시장 작은거아냐;;;	6,9,10,12,22,23,31,33,35,41,43
4204	따분한 감성팔이 영화, 주연 배우의 연기력이 무색한 연출과 스토리라인	0,3,10,20,22,23,29,33,37
